,S&P 500 (Live),FTSE 100 (Live),Nikkei 225 (Live),DAX (Live),Russel 2000 (Live),All Ordinaries (Live),CAC 40 (Live),Hang Seng (Live),KOSPI Composite Index (Live),AEX Index (Live),Swiss Market Index (Live),IBEX 35 (Live),S&P CNX Nifty (Live),IPC Mexico (Live),Bovespa Index (Live),S&P/TSX Composite Index (Live),Euro STOXX 50 (Live),FT Straits Times Index,FTSE MIB (Live)
,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel
DateID,SPX2.rk,FTSE2.rk,N2252.rk,GDAXI2.rk,RUT2.rk,AORD2.rk,FCHI2.rk,HSI2.rk,KS11.rk,AEX.rk,SSMI.rk,IBEX2.rk,NSEI.rk,MXX.rk,BVSP.rk,GSPTSE.rk,STOXX50E.rk,FTSTI.rk,FTSEMIB.rk
20150930,0.000110196,4.34E-05,0.000120236,0.000131606,7.86E-05,0.000144818,9.51E-05,6.84E-05,3.71E-05,8.92E-05,7.61E-05,0.000102403,6.74E-05,6.11E-05,0.000130934,5.94E-05,0.00022322,,8.12E-05
20151001,0.000117964,9.11E-05,0.000172856,0.000188874,0.000132886,6.33E-05,0.000169342,,3.41E-05,0.000180995,8.36E-05,0.000134775,6.67E-05,2.99E-05,0.000124705,9.53E-05,0.000177427,,0.000115339
20151002,0.000169205,9.77E-05,8.75E-05,0.000307688,0.000124696,0.000112501,0.00038537,6.56E-05,3.35E-05,0.000368526,0.000161145,0.000327126,,6.26E-05,0.000189865,7.92E-05,0.000400893,,0.000153395
20151005,5.40E-05,3.86E-05,0.000104028,0.000121957,6.65E-05,7.22E-05,9.78E-05,4.81E-05,2.32E-05,7.46E-05,5.67E-05,0.00010259,3.21E-05,9.57E-05,0.000131473,4.33E-05,0.000143605,,3.67E-05
20151006,5.93E-05,4.10E-05,0.000102114,0.000130538,6.24E-05,8.74E-05,0.000123248,6.14E-05,1.98E-05,0.000121613,6.20E-05,0.000131137,4.43E-05,2.87E-05,0.00010909,4.05E-05,0.000136089,,6.36E-05
20151007,8.20E-05,4.32E-05,0.000144213,0.00012691,8.56E-05,6.51E-05,0.000110171,9.00E-05,1.21E-05,0.000115938,7.87E-05,0.000104257,3.69E-05,8.70E-05,0.000231556,7.49E-05,0.000119,,5.55E-05
20151008,6.04E-05,6.65E-05,8.69E-05,0.000126108,5.02E-05,5.91E-05,0.000124074,9.98E-05,5.93E-05,0.000126658,8.92E-05,0.000152065,3.47E-05,3.42E-05,0.000102694,3.22E-05,0.000125567,,8.20E-05
20151009,3.36E-05,3.59E-05,7.37E-05,7.50E-05,3.16E-05,7.12E-05,6.77E-05,6.73E-05,,8.40E-05,6.31E-05,0.000116688,4.28E-05,4.13E-05,0.000101934,3.48E-05,7.71E-05,,4.70E-05
20151012,1.87E-05,3.61E-05,,8.45E-05,2.74E-05,2.40E-05,7.49E-05,4.68E-05,2.88E-05,6.71E-05,5.76E-05,8.00E-05,5.68E-05,2.75E-05,,,6.55E-05,,5.11E-05
20151013,3.49E-05,4.43E-05,4.56E-05,0.000133569,3.73E-05,5.60E-05,0.000117917,6.41E-05,3.36E-05,0.000116902,7.57E-05,0.000148993,3.25E-05,2.54E-05,0.000108247,3.69E-05,0.000108134,,7.87E-05
